source,city,sensor_id,pm25,pm10,co2_ppm,aqi_value,aqi_category,health_risk,latitude,longitude,recorded_at,processed_at
iot_simulator,Islamabad,PKS_ISB_TRF_02,40.85,46.5,510.21,114.2,Unhealthy for Sensitive Groups,MEDIUM,,,2026-07-12T10:15:25.703693+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Peshawar,PKS_PEW_IND_01,57.37,83.73,692.18,152.0,Unhealthy,HIGH,,,2026-07-12T10:15:25.703708+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Peshawar,PKS_PEW_RES_02,26.82,35.43,400.0,82.0,Moderate,LOW,,,2026-07-12T10:15:25.703724+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Multan,PKS_MUL_TRF_01,48.58,62.25,427.76,133.2,Unhealthy for Sensitive Groups,MEDIUM,,,2026-07-12T10:15:25.703737+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Multan,PKS_MUL_PRK_02,31.41,43.31,400.0,91.6,Moderate,LOW,,,2026-07-12T10:15:25.703753+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Karachi,PKS_KHI_IND_01,64.8,85.92,526.35,155.8,Unhealthy,HIGH,,,2026-07-12T10:15:36.541442+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Karachi,PKS_KHI_TRF_02,50.53,70.24,505.82,138.0,Unhealthy for Sensitive Groups,MEDIUM,,,2026-07-12T10:15:36.541471+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Lahore,PKS_LHR_RES_01,25.53,31.81,400.0,79.2,Moderate,LOW,,,2026-07-12T10:15:36.541487+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Lahore,PKS_LHR_IND_02,88.2,130.99,673.95,167.9,Unhealthy,HIGH,,,2026-07-12T10:15:36.541502+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Islamabad,PKS_ISB_PRK_01,12.41,18.4,400.0,51.7,Moderate,LOW,,,2026-07-12T10:15:36.541515+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Islamabad,PKS_ISB_TRF_02,44.71,70.56,460.64,123.7,Unhealthy for Sensitive Groups,MEDIUM,,,2026-07-12T10:15:36.541528+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Peshawar,PKS_PEW_IND_01,172.69,207.38,618.15,223.0,Very Unhealthy,HIGH,,,2026-07-12T10:15:36.541543+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Peshawar,PKS_PEW_RES_02,50.93,80.8,400.0,139.0,Unhealthy for Sensitive Groups,MEDIUM,,,2026-07-12T10:15:36.541556+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Multan,PKS_MUL_TRF_01,38.48,57.06,400.0,108.3,Unhealthy for Sensitive Groups,MEDIUM,,,2026-07-12T10:15:36.541569+00:00,2026-07-12T11:25:50.677714+00:00
iot_simulator,Multan,PKS_MUL_PRK_02,14.41,22.83,400.0,55.9,Moderate,LOW,,,2026-07-12T10:15:36.541584+00:00,2026-07-12T11:25:50.677714+00:00
openaq_v3,Islamabad,,16.0,,,59.2,Moderate,LOW,33.7235,73.11822,2025-03-04 12:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,"Karachi, Pakistan",,24.71,49.84,,77.5,Moderate,LOW,24.811053632574037,67.05825434267292,2024-02-28 12:42:56+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Lahore,,,179.0,,,,,31.54815,74.34396,2024-04-24 02:03:48+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Lahore,,39.66,,,111.2,Unhealthy for Sensitive Groups,MEDIUM,31.54815,74.34396,2026-07-11 21:57:14+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,"Soomra Society, Scheme 33, Karachi",,52.13492107391357,62.44032700856527,,142.0,Unhealthy for Sensitive Groups,MEDIUM,24.960929,67.161759,2024-10-25 16:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,"Soomra Society, Scheme 33, Karachi",,59.5,70.46666653951009,,153.1,Unhealthy,HIGH,24.960929,67.161759,2024-10-28 05:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,"Soomra Society, Scheme 33, Karachi",,31.045834223429363,35.97500038146973,,90.8,Moderate,LOW,24.960929,67.161759,2024-11-07 13:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Farhan Shah Labs,,,233.3561185201009,,,,,32.424312,74.52885,2025-01-13 23:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Farhan Shah Labs,,47.5,,,130.5,Unhealthy for Sensitive Groups,MEDIUM,32.424312,74.52885,2026-07-11 22:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Buraq integrated solutions,,33.76099952061971,,,96.6,Moderate,LOW,33.643208,73.068119,2025-05-17 08:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,"Barki, Lahore",,47.9,,,131.5,Unhealthy for Sensitive Groups,MEDIUM,31.4591591,74.5396309,2026-07-11 22:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,"F-7, Islamabad",,0.7,,,2.9,Good,LOW,33.7213352,73.0560998,2026-07-11 22:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Civil Secretariat,,44.9,,,124.1,Unhealthy for Sensitive Groups,MEDIUM,31.565942,74.2993626,2026-07-11 22:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Learning Alliance Intl. DHA,,41.8,,,116.5,Unhealthy for Sensitive Groups,MEDIUM,31.525621,74.436078,2026-07-11 22:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,FOOT & MOUTH DISEASE RESEARCH CENTRE,,56.1,,,151.3,Unhealthy,HIGH,31.53574,74.43538,2026-07-11 22:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,"HBFC Society, DHA Phase 5 (Hussainy House)",,36.4,,,103.2,Unhealthy for Sensitive Groups,MEDIUM,31.4571645,74.4106586,2026-07-11 22:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Gajju Matta (Kahna),,46.0,,,126.9,Unhealthy for Sensitive Groups,MEDIUM,31.377378,74.350574,2026-07-11 22:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Rawalpindi Women University,,1.3,,,5.4,Good,LOW,33.6452478,73.0646181,2026-07-11 22:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Sandha Road,,38.8,,,109.1,Unhealthy for Sensitive Groups,MEDIUM,31.562302,74.3027031,2026-07-11 22:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Ravi Road,,29.2,,,87.0,Moderate,LOW,31.602875,74.300927,2026-07-11 07:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,"Wasa 3, OHR Office ",,36.3,,,103.0,Unhealthy for Sensitive Groups,MEDIUM,33.650973,73.0788731,2026-04-08 08:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Shalimar Town,,45.4,,,125.4,Unhealthy for Sensitive Groups,MEDIUM,31.574289,74.447898,2026-07-11 21:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Social Welfare Department,,29.0,,,86.5,Moderate,LOW,33.6278837,73.0924564,2026-05-04 08:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,WASA Head Office 1,,5.4,,,22.5,Good,LOW,33.6022915,73.0560117,2026-07-11 21:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,"IEEE, Punjab University, LHR",,33.4,,,95.8,Moderate,LOW,31.495322,74.295056,2026-07-11 13:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Punjab Food Authority,,36.7,,,104.0,Unhealthy for Sensitive Groups,MEDIUM,33.6304566,73.0729694,2026-06-17 10:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Johar Town,,182.34890885786575,,,232.6,Very Unhealthy,HIGH,31.460056,74.280672,2026-01-08 05:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Public Health Engineering,,3.6,,,15.0,Good,LOW,33.6335684,73.0614477,2026-07-11 22:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,"Conservator of Forest, North zone",,7.8,,,32.5,Good,LOW,33.540583,73.116917,2026-07-11 22:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,PHA Head Office,,35.7,,,101.5,Unhealthy for Sensitive Groups,MEDIUM,33.6055187,73.0611438,2026-04-27 05:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Model Town,,40.7,,,113.8,Unhealthy for Sensitive Groups,MEDIUM,31.491676,74.313288,2026-07-11 22:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,E11/4 Sector Islamabad,,5.6,,,23.3,Good,LOW,33.698979,72.981907,2026-07-11 22:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,WASA 2 (Sufaid tanki),,1.7,,,7.1,Good,LOW,33.6386254,73.069351,2026-07-11 22:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Abasyn University,,8.6,,,35.8,Good,LOW,34.0321798,71.5864122,2026-07-11 22:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Small industrial development board(SIDB),,6.4,,,26.7,Good,LOW,33.9817904,71.5567563,2026-07-11 22:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,College Road,,45.9,,,126.6,Unhealthy for Sensitive Groups,MEDIUM,31.421799,74.274837,2026-07-11 22:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Hayatabad phase 7,,54.5,,,147.8,Unhealthy for Sensitive Groups,MEDIUM,33.9687263,71.4147126,2026-06-12 02:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Shaheed Benazir Women University,,53.6,,,145.6,Unhealthy for Sensitive Groups,MEDIUM,34.0559766,71.5646276,2026-07-05 23:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,NIUIP,,0.4,,,1.7,Good,LOW,33.9935232,71.4440704,2026-07-11 22:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,IMSciences Institute Peshwar,,24.4,,,76.9,Moderate,LOW,33.9581864,71.3343512,2026-07-11 22:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,"Assistant Commissioner Office, Allama Iqbal ",,0.4447619233812604,,,1.9,Good,LOW,31.47188,74.239512,2025-08-01 10:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Park Road F-8/1 Sector Islamabad,,7.9,,,32.9,Good,LOW,33.7102628,73.0312832,2026-06-04 11:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,WWF Office ,,6.2,,,25.8,Good,LOW,33.9905988,71.4996196,2026-07-11 22:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,"Pajian, Raiwind",,44.2,,,122.4,Unhealthy for Sensitive Groups,MEDIUM,31.299695,74.22505,2026-07-11 22:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Directorate General Local Gov ,,31.2,,,91.2,Moderate,LOW,33.9916663,71.435054,2026-07-10 12:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Khyber Medical University ,,33.9,,,96.8,Moderate,LOW,33.989115,71.4359101,2026-07-10 10:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Kahna Hospital ,,55.4,,,150.0,Unhealthy for Sensitive Groups,MEDIUM,31.37102350243929,74.36487268127355,2026-07-11 22:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Ashrafia Colony,,235.92280529869925,,,285.7,Very Unhealthy,HIGH,34.0268637,71.5772755,2026-01-11 10:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,EPA Office,,30.7,,,90.1,Moderate,LOW,33.977293,71.5654702,2026-07-10 12:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,District Health Authority,,27.8,,,84.0,Moderate,LOW,33.6333084,73.0488857,2026-07-11 08:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,DC Office Murree,,59.238805474175344,,,152.9,Unhealthy,HIGH,33.9065558,73.3980069,2025-11-20 09:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Gulberg III,,45.6,,,125.9,Unhealthy for Sensitive Groups,MEDIUM,31.508051,74.337544,2026-07-11 22:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,"PHA, Sialkot",,1.6,,,6.7,Good,LOW,32.505567,74.536067,2026-03-24 01:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,SCCI ,,40.6,,,113.6,Unhealthy for Sensitive Groups,MEDIUM,32.507924,74.537957,2026-07-11 15:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Dc Office Sialkot,,1.893928590629782,,,7.9,Good,LOW,32.505286,74.532952,2025-08-04 09:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Urban Policy Unit,,39.8,,,111.6,Unhealthy for Sensitive Groups,MEDIUM,33.9899378,71.4991258,2026-03-05 07:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Cantonment,,42.6,,,118.5,Unhealthy for Sensitive Groups,MEDIUM,31.539422,74.413792,2026-07-11 22:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Pak Arab,,5.6,,,23.3,Good,LOW,31.418387,74.345283,2026-07-02 06:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Samanabad,,50.6,,,138.2,Unhealthy for Sensitive Groups,MEDIUM,31.541983,74.298065,2026-07-10 04:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,WWF,,44.9,,,124.1,Unhealthy for Sensitive Groups,MEDIUM,32.4598818,74.5130851,2026-06-30 05:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Regional Ombudsman Office,,43.2,,,120.0,Unhealthy for Sensitive Groups,MEDIUM,32.48209,74.52664,2026-06-30 04:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,PSGMEA,,38.9,,,109.4,Unhealthy for Sensitive Groups,MEDIUM,32.487371,74.512444,2026-07-03 11:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,"Craftive  Apparels, Defence Road",,55.220208168029785,,,149.6,Unhealthy for Sensitive Groups,MEDIUM,32.49447,74.498977,2025-06-27 01:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Agriculture  Office Emnabad Road,,35.8,,,101.7,Unhealthy for Sensitive Groups,MEDIUM,32.465555,74.523957,2026-05-12 11:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,SWMC,,14.1,,,55.2,Moderate,LOW,32.516512,74.51071,2026-04-22 10:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Divisional Forest office Kotli Araian,,51.5,,,140.4,Unhealthy for Sensitive Groups,MEDIUM,32.59938,74.479594,2026-07-11 22:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Cheema Palace,,84.31405597262912,,,165.9,Unhealthy,HIGH,32.54477,74.569535,2026-01-24 17:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,AC  Sambrial,,164.9,,,215.3,Very Unhealthy,HIGH,32.477858,74.337355,2026-05-07 19:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Walled cities Authority office ,,84.6,,,166.0,Unhealthy,HIGH,30.19881,71.46818,2026-06-09 18:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,University of Balochistan,,79.2,,,163.2,Unhealthy,HIGH,30.162079,66.989772,2026-07-11 17:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,"WASA office, Chungi #09",,40.83570798238119,,,114.1,Unhealthy for Sensitive Groups,MEDIUM,30.20645,71.47604,2025-06-16 09:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Industries and Commerce,,5.2,,,21.7,Good,LOW,30.17716,67.008202,2026-07-01 10:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Quetta Commissioner Office ,,14.611833333969116,,,56.3,Moderate,LOW,30.197606,67.0101348,2026-01-22 11:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,Forman Christian College & Chartered University,,43.8,,,121.4,Unhealthy for Sensitive Groups,MEDIUM,31.521146,74.333954,2026-07-11 22:00:00+00:00,2026-07-12T11:25:50.717916+00:00
openaq_v3,"Multan Industrial EState, Board of Management",,44.392599487304686,,,122.9,Unhealthy for Sensitive Groups,MEDIUM,30.12721,71.38191,2025-06-16 11:00:00+00:00,2026-07-12T11:25:50.717916+00:00
