location_id,station_name,city,country_code,latitude,longitude,pollutant_type,pollutant_value,unit,recorded_at
4609261,"Pajian, Raiwind","Pajian, Raiwind",PK,31.299695,74.22505,pm25,44.2,µg/m³,2026-07-11T22:00:00Z
4609262,Directorate General Local Gov ,Directorate General Local Gov ,PK,33.9916663,71.435054,pm25,31.2,µg/m³,2026-07-10T12:00:00Z
4609307,Khyber Medical University ,Khyber Medical University ,PK,33.989115,71.4359101,pm25,33.9,µg/m³,2026-07-10T10:00:00Z
4609353,Kahna Hospital ,Kahna Hospital ,PK,31.371023502439286,74.36487268127355,pm25,55.4,µg/m³,2026-07-11T22:00:00Z
4609354,Ashrafia Colony,Ashrafia Colony,PK,34.0268637,71.5772755,pm25,235.92280529869925,µg/m³,2026-01-11T10:00:00Z
4614770,EPA Office,EPA Office,PK,33.977293,71.5654702,pm25,30.7,µg/m³,2026-07-10T12:00:00Z
4616262,District Health Authority,District Health Authority,PK,33.6333084,73.0488857,pm25,27.8,µg/m³,2026-07-11T08:00:00Z
4618315,DC Office Murree,DC Office Murree,PK,33.9065558,73.3980069,pm25,59.238805474175344,µg/m³,2025-11-20T09:00:00Z
4618814,Gulberg III,Gulberg III,PK,31.508051,74.337544,pm25,45.6,µg/m³,2026-07-11T22:00:00Z
4629400,"PHA, Sialkot","PHA, Sialkot",PK,32.505567,74.536067,pm25,1.6,µg/m³,2026-03-24T01:00:00Z
4629401,SCCI ,SCCI ,PK,32.507924,74.537957,pm25,40.6,µg/m³,2026-07-11T15:00:00Z
4630451,Dc Office Sialkot,Dc Office Sialkot,PK,32.505286,74.532952,pm25,1.893928590629782,µg/m³,2025-08-04T09:00:00Z
4645154,Urban Policy Unit,Urban Policy Unit,PK,33.9899378,71.4991258,pm25,39.8,µg/m³,2026-03-05T07:00:00Z
4698865,Cantonment,Cantonment,PK,31.539422,74.413792,pm25,42.6,µg/m³,2026-07-11T22:00:00Z
4699919,Pak Arab,Pak Arab,PK,31.418387,74.345283,pm25,5.6,µg/m³,2026-07-02T06:00:00Z
4700982,Samanabad,Samanabad,PK,31.541983,74.298065,pm25,50.6,µg/m³,2026-07-10T04:00:00Z
4708999,WWF,WWF,PK,32.4598818,74.5130851,pm25,44.9,µg/m³,2026-06-30T05:00:00Z
4710567,Regional Ombudsman Office,Regional Ombudsman Office,PK,32.48209,74.52664,pm25,43.2,µg/m³,2026-06-30T04:00:00Z
4712030,PSGMEA,PSGMEA,PK,32.487371,74.512444,pm25,38.9,µg/m³,2026-07-03T11:00:00Z
4712608,"Craftive  Apparels, Defence Road","Craftive  Apparels, Defence Road",PK,32.49447,74.498977,pm25,55.220208168029785,µg/m³,2025-06-27T01:00:00Z
4721112,Agriculture  Office Emnabad Road,Agriculture  Office Emnabad Road,PK,32.465555,74.523957,pm25,35.8,µg/m³,2026-05-12T11:00:00Z
4721113,SWMC,SWMC,PK,32.516512,74.51071,pm25,14.1,µg/m³,2026-04-22T10:00:00Z
4722655,Divisional Forest office Kotli Araian,Divisional Forest office Kotli Araian,PK,32.59938,74.479594,pm25,51.5,µg/m³,2026-07-11T22:00:00Z
4723667,Cheema Palace,Cheema Palace,PK,32.54477,74.569535,pm25,84.31405597262912,µg/m³,2026-01-24T17:00:00Z
4725232,AC  Sambrial,AC  Sambrial,PK,32.477858,74.337355,pm25,164.9,µg/m³,2026-05-07T19:00:00Z
4755317,Walled cities Authority office ,Walled cities Authority office ,PK,30.19881,71.46818,pm25,84.6,µg/m³,2026-06-09T18:00:00Z
4756280,University of Balochistan,University of Balochistan,PK,30.162079,66.989772,pm25,79.2,µg/m³,2026-07-11T17:00:00Z
4756281,"WASA office, Chungi #09","WASA office, Chungi #09",PK,30.20645,71.47604,pm25,40.83570798238119,µg/m³,2025-06-16T09:00:00Z
4757303,Industries and Commerce,Industries and Commerce,PK,30.17716,67.008202,pm25,5.2,µg/m³,2026-07-01T10:00:00Z
4757304,Quetta Commissioner Office ,Quetta Commissioner Office ,PK,30.197606,67.0101348,pm25,14.611833333969116,µg/m³,2026-01-22T11:00:00Z
4757305,Forman Christian College & Chartered University,Forman Christian College & Chartered University,PK,31.521146,74.333954,pm25,43.8,µg/m³,2026-07-11T22:00:00Z
4757794,"Multan Industrial EState, Board of Management","Multan Industrial EState, Board of Management",PK,30.12721,71.38191,pm25,44.392599487304686,µg/m³,2025-06-16T11:00:00Z
4758328,Multan Industrial Estate,Multan Industrial Estate,PK,30.12714,71.38146,pm25,4.2,µg/m³,2026-07-11T22:00:00Z
4758816,BUITEMS,BUITEMS,PK,30.2713,66.9379,pm25,15.527833175659179,µg/m³,2025-08-20T08:00:00Z
4759316,OSCD,OSCD,PK,30.202854,66.993317,pm25,12.6,µg/m³,2026-04-06T06:00:00Z
4760841,Metropolitan corporation office ,Metropolitan corporation office ,PK,30.17631,71.48861,pm25,109.4,µg/m³,2026-04-14T09:00:00Z
4767238,Institute of Public Health,Institute of Public Health,PK,30.193314,66.955154,pm25,11.7,µg/m³,2026-07-08T08:00:00Z
4767239,NFC IET Multan,NFC IET Multan,PK,30.22382,71.53613,pm25,15.1,µg/m³,2026-07-07T08:00:00Z
4767718,A1 City Housing ,A1 City Housing ,PK,30.185308,66.97113,pm25,22.0,µg/m³,2026-07-07T08:00:00Z
4769229,women university,women university,PK,30.2515,71.57288,pm25,5.8,µg/m³,2026-07-11T22:00:00Z
4769230,Sheikh Khalifa Bin Zayyad hospital,Sheikh Khalifa Bin Zayyad hospital,PK,30.082855,66.96167,pm25,0.1,µg/m³,2026-03-20T10:00:00Z
4770826,Helping hand Balochestan,Helping hand Balochestan,PK,30.240204,67.019051,pm25,12.8,µg/m³,2026-07-11T22:00:00Z
4770827,Muhammad Nawaz Sharif University of  Agriculture,Muhammad Nawaz Sharif University of  Agriculture,PK,30.1477,71.44326,pm25,186.4,µg/m³,2026-06-15T03:00:00Z
4771376,EPA OFFICE,EPA OFFICE,PK,30.217964,66.977745,pm25,24.4,µg/m³,2026-07-11T22:00:00Z
4771378,Cantt Public School & College,Cantt Public School & College,PK,30.1827,71.43621,pm25,285.1,µg/m³,2026-07-08T15:00:00Z
4771882,Dearchitecture House no C-36,Dearchitecture House no C-36,PK,30.208897,67.002403,pm25,27.4,µg/m³,2026-07-07T12:00:00Z
4779254,District officer Industries / Registrar of Firms,District officer Industries / Registrar of Firms,PK,30.207826,71.439894,pm25,262.46600341796875,µg/m³,2025-11-27T03:00:00Z
4779736,"WASA office, Chungi #09","WASA office, Chungi #09",PK,30.20654,71.4762,pm25,167.3,µg/m³,2026-05-30T10:00:00Z
4780772,"UC office, khushal colony","UC office, khushal colony",PK,30.20817,71.49625,pm25,70.42288852267795,µg/m³,2026-01-30T10:00:00Z
4782810,"House#E/21 B,Khayaban Ali Housing scheme ","House#E/21 B,Khayaban Ali Housing scheme ",PK,29.35128,71.69255,pm25,30.1,µg/m³,2026-07-11T23:00:00Z
4790880,PHA Bahawalpur,PHA Bahawalpur,PK,29.38746,71.70984,pm25,28.8,µg/m³,2026-07-11T23:00:00Z
4791416,Allama iqbal hospital,Allama iqbal hospital,PK,32.503689,74.547365,pm25,104.8551668802897,µg/m³,2026-02-12T04:00:00Z
4791923,Commissioner Office,Commissioner Office,PK,29.39228,71.69131,pm25,31.0,µg/m³,2026-07-11T15:00:00Z
4791924,Urban Resource Center,Urban Resource Center,PK,24.868,67.081833,pm25,23.0,µg/m³,2026-07-11T23:00:00Z
4792427,Grand Asian University,Grand Asian University,PK,32.437542,74.577984,pm25,47.1,µg/m³,2026-07-11T23:00:00Z
